INFO 2021-09-04 00:42:16,229 - Receive response from https://hentai2read.com/come_on_lovely_sisters/ with status code is 200. Generating soup
INFO 2021-09-04 00:42:16,301 - Generate manga information
DEBUG 2021-09-04 00:42:16,302 - Starting new HTTPS connection (1): hentai2read.com:443
DEBUG 2021-09-04 00:42:17,452 - https://hentai2read.com:443 "GET /slithering_pleasure/ HTTP/1.1" 200 None
INFO 2021-09-04 00:42:17,457 - Receive response from https://hentai2read.com/slithering_pleasure/ with status code is 200. Generating soup
INFO 2021-09-04 00:42:17,529 - Generate manga information
DEBUG 2021-09-04 00:42:17,530 - Starting new HTTPS connection (1): hentai2read.com:443
DEBUG 2021-09-04 00:42:18,081 - https://hentai2read.com:443 "GET /victim_girls/ HTTP/1.1" 200 None
INFO 2021-09-04 00:42:18,329 - Receive response from https://hentai2read.com/victim_girls/ with status code is 200. Generating soup
INFO 2021-09-04 00:42:18,424 - Generate manga information
DEBUG 2021-09-04 00:42:18,425 - Starting new HTTPS connection (1): hentai2read.com:443
DEBUG 2021-09-04 00:42:18,963 - https://hentai2read.com:443 "GET /bitch_trap/ HTTP/1.1" 200 None
INFO 2021-09-04 00:42:18,966 - Receive response from https://hentai2read.com/bitch_trap/ with status code is 200. Generating soup
INFO 2021-09-04 00:42:19,040 - Generate manga information
DEBUG 2021-09-04 00:42:19,041 - Starting new HTTPS connection (1): hentai2read.com:443
DEBUG 2021-09-04 00:42:20,162 - https://hentai2read.com:443 "GET /tonari_no_minano_sensei/ HTTP/1.1" 200 None
INFO 2021-09-04 00:42:20,163 - Receive response from https://hentai2read.com/tonari_no_minano_sensei/ with status code is 200. Generating soup
INFO 2021-09-04 00:42:20,237 - Generate manga information
DEBUG 2021-09-04 00:42:20,238 - Starting new HTTPS connection (1): hentai2read.com:443
DEBUG 2021-09-04 00:42:20,986 - https://hentai2read.com:443 "GET /co_ed_sexxtasy/ HTTP/1.1" 200 None
INFO 2021-09-04 00:42:20,999 - Receive response from https://hentai2read.com/co_ed_sexxtasy/ with status code is 200. Generating soup
INFO 2021-09-04 00:42:21,077 - Generate manga information
DEBUG 2021-09-04 00:42:21,078 - Starting new HTTPS connection (1): hentai2read.com:443
DEBUG 2021-09-04 00:42:21,609 - https://hentai2read.com:443 "GET /countdown_sex_boms/ HTTP/1.1" 200 None
INFO 2021-09-04 00:42:21,613 - Receive response from https://hentai2read.com/countdown_sex_boms/ with status code is 200. Generating soup
INFO 2021-09-04 00:42:21,686 - Generate manga information
DEBUG 2021-09-04 00:42:21,687 - Starting new HTTPS connection (1): hentai2read.com:443
DEBUG 2021-09-04 00:42:22,540 - https://hentai2read.com:443 "GET /pururun_seminar/ HTTP/1.1" 200 None
INFO 2021-09-04 00:42:22,550 - Receive response from https://hentai2read.com/pururun_seminar/ with status code is 200. Generating soup
INFO 2021-09-04 00:42:22,626 - Generate manga information
DEBUG 2021-09-04 00:42:22,627 - Starting new HTTPS connection (1): hentai2read.com:443
DEBUG 2021-09-04 00:42:23,362 - https://hentai2read.com:443 "GET /s_m_university/ HTTP/1.1" 200 None
INFO 2021-09-04 00:42:23,375 - Receive response from https://hentai2read.com/s_m_university/ with status code is 200. Generating soup
INFO 2021-09-04 00:42:23,449 - Generate manga information
DEBUG 2021-09-04 00:42:23,450 - Starting new HTTPS connection (1): hentai2read.com:443
DEBUG 2021-09-04 00:42:25,119 - https://hentai2read.com:443 "GET /second_virgin/ HTTP/1.1" 200 None
INFO 2021-09-04 00:42:25,129 - Receive response from https://hentai2read.com/second_virgin/ with status code is 200. Generating soup
INFO 2021-09-04 00:42:25,238 - Generate manga information
DEBUG 2021-09-04 00:42:25,240 - Starting new HTTPS connection (1): hentai2read.com:443
DEBUG 2021-09-04 00:42:26,097 - https://hentai2read.com:443 "GET /virgin/ HTTP/1.1" 200 None
INFO 2021-09-04 00:42:26,110 - Receive response from https://hentai2read.com/virgin/ with status code is 200. Generating soup
